,Date,Positive,Negative
0,20200101,180,333
1,20200107,195,327
2,20200114,203,307
3,20200121,193,317
4,20200201,197,317
5,20200207,202,310
6,20200214,117,405
7,20200221,148,373
8,20200301,185,338
9,20200307,183,343
10,20200314,216,301
11,20200321,190,332
12,20200401,211,311
13,20200407,207,307
14,20200414,185,342
15,20200421,224,297
16,20200501,231,287
17,20200507,195,329
18,20200514,202,314
19,20200521,210,309
20,20200601,212,306
21,20200607,197,318
22,20200614,192,331
23,20200621,209,313
24,20200701,213,309
25,20200707,182,330
26,20200714,192,322
27,20200721,192,319
28,20200801,239,270
29,20200807,184,329
30,20200814,197,322
31,20200821,173,344
32,20200901,214,303
33,20200907,242,279
34,20200914,224,291
35,20200921,229,284
36,20201001,197,326
37,20201007,223,292
38,20201014,239,282
39,20201021,190,324
40,20201101,212,301
41,20201107,239,282
42,20201114,205,308
43,20201121,242,271
44,20201201,223,298
45,20201207,200,325
46,20201214,216,312
47,20201221,210,310
48,20210101,247,271
49,20210107,195,323
50,20210114,236,283
51,20210121,263,248
52,20210201,214,306
53,20210207,202,311
54,20210214,226,294
55,20210221,226,282
56,20210301,188,325
57,20210307,223,291
58,20210314,227,277
59,20210321,218,290
60,20210401,206,301
61,20210407,240,262
62,20210414,222,294
63,20210421,187,326
64,20210501,213,301
65,20210507,231,285
66,20210514,198,318
67,20210521,205,300
68,20210601,216,305
69,20210607,189,317
70,20210614,200,317
71,20210621,217,301
72,20210701,184,330
73,20210707,239,280
74,20210714,176,340
75,20210721,172,340
76,20210801,167,346
77,20210807,185,325
78,20210814,210,311
79,20210821,228,290
80,20210901,148,367
81,20210907,166,342
82,20210914,190,328
83,20210921,187,327
84,20211001,206,307
85,20211007,204,303
86,20211014,186,323
87,20211021,235,272
