,Date,Positive,Negative
0,20200101,53,93
1,20200107,48,118
2,20200114,61,103
3,20200121,175,341
4,20200201,172,331
5,20200207,169,342
6,20200214,126,389
7,20200221,147,364
8,20200301,126,378
9,20200307,156,351
10,20200314,185,318
11,20200321,182,325
12,20200401,177,336
13,20200407,185,315
14,20200414,172,334
15,20200421,166,344
16,20200501,193,322
17,20200507,186,325
18,20200514,146,363
19,20200521,185,323
20,20200601,144,363
21,20200607,183,320
22,20200614,166,338
23,20200621,165,343
24,20200701,151,359
25,20200707,183,327
26,20200714,149,361
27,20200721,170,330
28,20200801,197,310
29,20200807,194,312
30,20200814,174,325
31,20200821,155,348
32,20200901,215,288
33,20200907,196,314
34,20200914,151,351
35,20200921,175,328
36,20201001,163,348
37,20201007,189,314
38,20201014,187,319
39,20201021,138,370
40,20201101,187,316
41,20201107,200,303
42,20201114,210,297
43,20201121,217,287
44,20201201,214,293
45,20201207,187,325
46,20201214,190,313
47,20201221,207,301
48,20210101,168,333
49,20210107,170,330
50,20210114,205,299
51,20210121,181,326
52,20210201,174,329
53,20210207,191,320
54,20210214,180,326
55,20210221,180,326
56,20210301,167,333
57,20210307,197,308
58,20210314,198,315
59,20210321,150,364
60,20210401,191,319
61,20210407,163,346
62,20210414,151,347
63,20210421,158,348
64,20210501,182,325
65,20210507,212,294
66,20210514,197,314
67,20210521,167,340
68,20210601,164,342
69,20210607,204,302
70,20210614,182,330
71,20210621,200,308
72,20210701,191,315
73,20210707,155,359
74,20210714,145,359
75,20210721,184,322
76,20210801,186,316
77,20210807,184,322
78,20210814,185,319
79,20210821,171,340
80,20210901,182,324
81,20210907,177,326
82,20210914,180,329
83,20210921,202,305
84,20211001,153,350
85,20211007,174,333
86,20211014,191,313
87,20211021,171,333
