,data,positive,negative
0,20200101,180,334
1,20200107,195,328
2,20200114,203,308
3,20200121,198,318
4,20200201,216,344
5,20200207,234,338
6,20200214,157,434
7,20200221,301,540
8,20200301,362,534
9,20200307,381,484
10,20200314,409,463
11,20200321,370,486
12,20200401,371,512
13,20200407,401,449
14,20200414,333,451
15,20200421,361,360
16,20200501,344,354
17,20200507,434,413
18,20200514,326,385
19,20200521,496,360
20,20200601,276,364
21,20200607,270,380
22,20200614,265,388
23,20200621,272,371
24,20200701,283,349
25,20200707,239,393
26,20200714,261,362
27,20200721,227,630
28,20200801,294,297
29,20200807,241,367
30,20200814,280,616
31,20200821,316,540
32,20200901,339,417
33,20200907,355,388
34,20200914,316,360
35,20200921,317,387
36,20201001,249,369
37,20201007,227,298
38,20201014,296,332
39,20201021,438,389
40,20201101,481,368
41,20201107,513,357
42,20201114,277,413
43,20201121,367,395
44,20201201,350,367
45,20201207,311,423
46,20201214,320,404
47,20201221,305,388
48,20210101,348,364
49,20210107,273,421
50,20210114,302,364
51,20210121,329,314
52,20210201,255,372
53,20210207,264,380
54,20210214,286,364
55,20210221,334,373
56,20210301,230,381
57,20210307,279,368
58,20210314,285,351
59,20210321,272,362
60,20210401,264,405
61,20210407,295,349
62,20210414,278,367
63,20210421,202,343
64,20210501,266,344
65,20210507,305,374
66,20210514,243,367
67,20210521,244,351
68,20210601,255,352
69,20210607,234,357
70,20210614,243,363
71,20210621,272,340
72,20210701,225,357
73,20210707,274,321
74,20210714,221,389
75,20210721,242,420
76,20210801,223,402
77,20210807,238,373
78,20210814,309,362
79,20210821,327,368
80,20210901,267,430
81,20210907,311,431
82,20210914,256,391
83,20210921,351,496
84,20211001,352,439
85,20211007,431,484
86,20211014,0,0
87,20211021,0,0
