,data,positive,negative
0,20200101,53,94
1,20200107,48,119
2,20200114,61,104
3,20200121,177,343
4,20200201,176,342
5,20200207,177,350
6,20200214,132,407
7,20200221,173,426
8,20200301,151,438
9,20200307,183,411
10,20200314,207,350
11,20200321,207,357
12,20200401,191,351
13,20200407,208,349
14,20200414,183,350
15,20200421,176,367
16,20200501,204,336
17,20200507,195,351
18,20200514,157,379
19,20200521,191,341
20,20200601,158,373
21,20200607,193,326
22,20200614,180,353
23,20200621,175,354
24,20200701,155,370
25,20200707,194,332
26,20200714,153,371
27,20200721,178,339
28,20200801,204,314
29,20200807,199,322
30,20200814,194,357
31,20200821,178,378
32,20200901,232,302
33,20200907,208,334
34,20200914,161,375
35,20200921,189,341
36,20201001,171,363
37,20201007,211,332
38,20201014,195,332
39,20201021,148,379
40,20201101,194,320
41,20201107,205,312
42,20201114,216,319
43,20201121,227,310
44,20201201,224,313
45,20201207,200,380
46,20201214,207,344
47,20201221,220,318
48,20210101,187,336
49,20210107,181,340
50,20210114,218,310
51,20210121,192,342
52,20210201,177,341
53,20210207,198,328
54,20210214,188,334
55,20210221,185,334
56,20210301,172,334
57,20210307,205,315
58,20210314,205,327
59,20210321,157,371
60,20210401,194,327
61,20210407,170,355
62,20210414,163,354
63,20210421,162,357
64,20210501,186,335
65,20210507,219,302
66,20210514,203,322
67,20210521,174,363
68,20210601,171,349
69,20210607,211,309
70,20210614,191,335
71,20210621,208,314
72,20210701,192,319
73,20210707,168,377
74,20210714,158,373
75,20210721,197,337
76,20210801,198,322
77,20210807,193,332
78,20210814,191,331
79,20210821,183,344
80,20210901,188,332
81,20210907,184,334
82,20210914,190,334
83,20210921,212,316
84,20211001,157,361
85,20211007,181,341
86,20211014,199,319
87,20211021,178,345
