,data,positive,negative
0,20200101,188,335
1,20200107,179,342
2,20200114,188,333
3,20200121,210,331
4,20200201,219,410
5,20200207,271,341
6,20200214,264,403
7,20200221,315,570
8,20200301,382,497
9,20200307,391,474
10,20200314,371,493
11,20200321,362,474
12,20200401,340,449
13,20200407,372,425
14,20200414,297,445
15,20200421,300,424
16,20200501,256,373
17,20200507,332,400
18,20200514,265,407
19,20200521,284,434
20,20200601,266,364
21,20200607,266,374
22,20200614,260,377
23,20200621,235,371
24,20200701,204,398
25,20200707,212,386
26,20200714,237,351
27,20200721,211,367
28,20200801,220,344
29,20200807,222,364
30,20200814,249,553
31,20200821,298,548
32,20200901,319,398
33,20200907,291,415
34,20200914,275,373
35,20200921,271,373
36,20201001,229,376
37,20201007,255,358
38,20201014,239,357
39,20201021,242,343
40,20201101,222,340
41,20201107,237,320
42,20201114,261,334
43,20201121,259,390
44,20201201,296,378
45,20201207,284,429
46,20201214,286,393
47,20201221,288,413
48,20210101,216,401
49,20210107,282,329
50,20210114,265,346
51,20210121,254,363
52,20210201,212,374
53,20210207,235,336
54,20210214,220,360
55,20210221,251,336
56,20210301,220,351
57,20210307,225,338
58,20210314,231,349
59,20210321,257,319
60,20210401,217,353
61,20210407,237,354
62,20210414,228,352
63,20210421,207,384
64,20210501,167,394
65,20210507,234,350
66,20210514,264,320
67,20210521,206,364
68,20210601,166,416
69,20210607,238,327
70,20210614,155,427
71,20210621,187,367
72,20210701,174,393
73,20210707,251,484
74,20210714,242,407
75,20210721,216,414
76,20210801,228,374
77,20210807,233,416
78,20210814,225,401
79,20210821,218,426
80,20210901,188,402
81,20210907,190,417
82,20210914,215,419
83,20210921,147,464
84,20211001,198,394
85,20211007,192,411
86,20211014,197,396
87,20211021,197,403
