,Date,Positive,Negative
0,YYYY-00-DD 00:00:SS,0,1
1,YYYY-00-DD 00:00:SS,0,1
2,YYYY-00-DD 00:00:SS,0,1
3,YYYY-00-DD 00:00:SS,5,1
4,YYYY-00-DD 00:00:SS,19,27
5,YYYY-00-DD 00:00:SS,32,28
6,YYYY-00-DD 00:00:SS,40,29
7,YYYY-00-DD 00:00:SS,153,167
8,YYYY-00-DD 00:00:SS,177,196
9,YYYY-00-DD 00:00:SS,198,141
10,YYYY-00-DD 00:00:SS,193,162
11,YYYY-00-DD 00:00:SS,180,154
12,YYYY-00-DD 00:00:SS,160,201
13,YYYY-00-DD 00:00:SS,194,142
14,YYYY-00-DD 00:00:SS,148,109
15,YYYY-00-DD 00:00:SS,137,63
16,YYYY-00-DD 00:00:SS,113,67
17,YYYY-00-DD 00:00:SS,239,84
18,YYYY-00-DD 00:00:SS,124,71
19,YYYY-00-DD 00:00:SS,286,51
20,YYYY-00-DD 00:00:SS,64,58
21,YYYY-00-DD 00:00:SS,73,62
22,YYYY-00-DD 00:00:SS,73,57
23,YYYY-00-DD 00:00:SS,63,58
24,YYYY-00-DD 00:00:SS,70,40
25,YYYY-00-DD 00:00:SS,57,63
26,YYYY-00-DD 00:00:SS,69,40
27,YYYY-00-DD 00:00:SS,35,311
28,YYYY-00-DD 00:00:SS,55,27
29,YYYY-00-DD 00:00:SS,57,38
30,YYYY-00-DD 00:00:SS,83,294
31,YYYY-00-DD 00:00:SS,143,196
32,YYYY-00-DD 00:00:SS,125,114
33,YYYY-00-DD 00:00:SS,113,109
34,YYYY-00-DD 00:00:SS,92,69
35,YYYY-00-DD 00:00:SS,88,103
36,YYYY-00-DD 00:00:SS,52,43
37,YYYY-00-DD 00:00:SS,4,6
38,YYYY-00-DD 00:00:SS,57,50
39,YYYY-00-DD 00:00:SS,248,65
40,YYYY-00-DD 00:00:SS,269,67
41,YYYY-00-DD 00:00:SS,274,75
42,YYYY-00-DD 00:00:SS,72,105
43,YYYY-00-DD 00:00:SS,125,124
44,YYYY-00-DD 00:00:SS,127,69
45,YYYY-00-DD 00:00:SS,111,98
46,YYYY-00-DD 00:00:SS,104,92
47,YYYY-00-DD 00:00:SS,95,78
48,YYYY-00-DD 00:00:SS,101,93
49,YYYY-00-DD 00:00:SS,78,98
50,YYYY-00-DD 00:00:SS,66,81
51,YYYY-00-DD 00:00:SS,66,66
52,YYYY-00-DD 00:00:SS,41,66
53,YYYY-00-DD 00:00:SS,62,69
54,YYYY-00-DD 00:00:SS,60,70
55,YYYY-00-DD 00:00:SS,108,91
56,YYYY-00-DD 00:00:SS,42,56
57,YYYY-00-DD 00:00:SS,56,77
58,YYYY-00-DD 00:00:SS,58,74
59,YYYY-00-DD 00:00:SS,54,72
60,YYYY-00-DD 00:00:SS,58,104
61,YYYY-00-DD 00:00:SS,55,87
62,YYYY-00-DD 00:00:SS,56,73
63,YYYY-00-DD 00:00:SS,15,17
64,YYYY-00-DD 00:00:SS,53,43
65,YYYY-00-DD 00:00:SS,74,89
66,YYYY-00-DD 00:00:SS,45,49
67,YYYY-00-DD 00:00:SS,39,51
68,YYYY-00-DD 00:00:SS,39,47
69,YYYY-00-DD 00:00:SS,45,40
70,YYYY-00-DD 00:00:SS,43,46
71,YYYY-00-DD 00:00:SS,55,39
72,YYYY-00-DD 00:00:SS,41,27
73,YYYY-00-DD 00:00:SS,35,41
74,YYYY-00-DD 00:00:SS,45,49
75,YYYY-00-DD 00:00:SS,70,80
76,YYYY-00-DD 00:00:SS,56,56
77,YYYY-00-DD 00:00:SS,53,48
78,YYYY-00-DD 00:00:SS,99,51
79,YYYY-00-DD 00:00:SS,99,78
80,YYYY-00-DD 00:00:SS,119,63
81,YYYY-00-DD 00:00:SS,145,89
82,YYYY-00-DD 00:00:SS,66,63
83,YYYY-00-DD 00:00:SS,164,169
84,YYYY-00-DD 00:00:SS,146,132
85,YYYY-00-DD 00:00:SS,227,181
