,Date,Positive,Negative
0,YYYY-00-DD 00:00:SS,0,1
1,YYYY-00-DD 00:00:SS,0,1
2,YYYY-00-DD 00:00:SS,0,1
3,YYYY-00-DD 00:00:SS,2,2
4,YYYY-00-DD 00:00:SS,4,11
5,YYYY-00-DD 00:00:SS,8,8
6,YYYY-00-DD 00:00:SS,6,18
7,YYYY-00-DD 00:00:SS,26,62
8,YYYY-00-DD 00:00:SS,25,60
9,YYYY-00-DD 00:00:SS,27,60
10,YYYY-00-DD 00:00:SS,22,32
11,YYYY-00-DD 00:00:SS,25,32
12,YYYY-00-DD 00:00:SS,14,15
13,YYYY-00-DD 00:00:SS,23,34
14,YYYY-00-DD 00:00:SS,11,16
15,YYYY-00-DD 00:00:SS,10,23
16,YYYY-00-DD 00:00:SS,11,14
17,YYYY-00-DD 00:00:SS,9,26
18,YYYY-00-DD 00:00:SS,11,16
19,YYYY-00-DD 00:00:SS,6,18
20,YYYY-00-DD 00:00:SS,14,10
21,YYYY-00-DD 00:00:SS,10,6
22,YYYY-00-DD 00:00:SS,14,15
23,YYYY-00-DD 00:00:SS,10,11
24,YYYY-00-DD 00:00:SS,4,11
25,YYYY-00-DD 00:00:SS,11,5
26,YYYY-00-DD 00:00:SS,4,10
27,YYYY-00-DD 00:00:SS,8,9
28,YYYY-00-DD 00:00:SS,7,4
29,YYYY-00-DD 00:00:SS,5,10
30,YYYY-00-DD 00:00:SS,20,32
31,YYYY-00-DD 00:00:SS,23,30
32,YYYY-00-DD 00:00:SS,17,14
33,YYYY-00-DD 00:00:SS,12,20
34,YYYY-00-DD 00:00:SS,10,24
35,YYYY-00-DD 00:00:SS,14,13
36,YYYY-00-DD 00:00:SS,8,15
37,YYYY-00-DD 00:00:SS,22,18
38,YYYY-00-DD 00:00:SS,8,13
39,YYYY-00-DD 00:00:SS,10,9
40,YYYY-00-DD 00:00:SS,7,4
41,YYYY-00-DD 00:00:SS,5,9
42,YYYY-00-DD 00:00:SS,6,22
43,YYYY-00-DD 00:00:SS,10,23
44,YYYY-00-DD 00:00:SS,10,20
45,YYYY-00-DD 00:00:SS,13,55
46,YYYY-00-DD 00:00:SS,17,31
47,YYYY-00-DD 00:00:SS,13,17
48,YYYY-00-DD 00:00:SS,19,3
49,YYYY-00-DD 00:00:SS,11,10
50,YYYY-00-DD 00:00:SS,13,11
51,YYYY-00-DD 00:00:SS,11,16
52,YYYY-00-DD 00:00:SS,3,12
53,YYYY-00-DD 00:00:SS,7,8
54,YYYY-00-DD 00:00:SS,8,8
55,YYYY-00-DD 00:00:SS,5,8
56,YYYY-00-DD 00:00:SS,5,1
57,YYYY-00-DD 00:00:SS,8,7
58,YYYY-00-DD 00:00:SS,7,12
59,YYYY-00-DD 00:00:SS,7,7
60,YYYY-00-DD 00:00:SS,3,8
61,YYYY-00-DD 00:00:SS,7,9
62,YYYY-00-DD 00:00:SS,12,7
63,YYYY-00-DD 00:00:SS,4,9
64,YYYY-00-DD 00:00:SS,4,10
65,YYYY-00-DD 00:00:SS,7,8
66,YYYY-00-DD 00:00:SS,6,8
67,YYYY-00-DD 00:00:SS,7,23
68,YYYY-00-DD 00:00:SS,7,7
69,YYYY-00-DD 00:00:SS,7,7
70,YYYY-00-DD 00:00:SS,9,5
71,YYYY-00-DD 00:00:SS,8,6
72,YYYY-00-DD 00:00:SS,1,4
73,YYYY-00-DD 00:00:SS,13,18
74,YYYY-00-DD 00:00:SS,13,14
75,YYYY-00-DD 00:00:SS,13,15
76,YYYY-00-DD 00:00:SS,12,6
77,YYYY-00-DD 00:00:SS,9,10
78,YYYY-00-DD 00:00:SS,6,12
79,YYYY-00-DD 00:00:SS,12,4
80,YYYY-00-DD 00:00:SS,6,8
81,YYYY-00-DD 00:00:SS,7,8
82,YYYY-00-DD 00:00:SS,10,5
83,YYYY-00-DD 00:00:SS,10,11
84,YYYY-00-DD 00:00:SS,4,11
85,YYYY-00-DD 00:00:SS,7,8
86,YYYY-00-DD 00:00:SS,8,6
87,YYYY-00-DD 00:00:SS,7,12
