,Date,Positive,Negative
0,YYYY-00-DD 00:00:SS,1,0
1,YYYY-00-DD 00:00:SS,0,1
2,YYYY-00-DD 00:00:SS,0,1
3,YYYY-00-DD 00:00:SS,8,20
4,YYYY-00-DD 00:00:SS,47,77
5,YYYY-00-DD 00:00:SS,47,62
6,YYYY-00-DD 00:00:SS,64,91
7,YYYY-00-DD 00:00:SS,144,228
8,YYYY-00-DD 00:00:SS,158,209
9,YYYY-00-DD 00:00:SS,193,162
10,YYYY-00-DD 00:00:SS,164,190
11,YYYY-00-DD 00:00:SS,139,191
12,YYYY-00-DD 00:00:SS,132,139
13,YYYY-00-DD 00:00:SS,149,134
14,YYYY-00-DD 00:00:SS,98,129
15,YYYY-00-DD 00:00:SS,107,108
16,YYYY-00-DD 00:00:SS,52,74
17,YYYY-00-DD 00:00:SS,97,134
18,YYYY-00-DD 00:00:SS,70,96
19,YYYY-00-DD 00:00:SS,85,118
20,YYYY-00-DD 00:00:SS,46,78
21,YYYY-00-DD 00:00:SS,61,79
22,YYYY-00-DD 00:00:SS,58,67
23,YYYY-00-DD 00:00:SS,46,60
24,YYYY-00-DD 00:00:SS,45,50
25,YYYY-00-DD 00:00:SS,37,54
26,YYYY-00-DD 00:00:SS,43,37
27,YYYY-00-DD 00:00:SS,36,37
28,YYYY-00-DD 00:00:SS,29,37
29,YYYY-00-DD 00:00:SS,32,45
30,YYYY-00-DD 00:00:SS,109,185
31,YYYY-00-DD 00:00:SS,120,217
32,YYYY-00-DD 00:00:SS,102,106
33,YYYY-00-DD 00:00:SS,92,108
34,YYYY-00-DD 00:00:SS,70,73
35,YYYY-00-DD 00:00:SS,62,76
36,YYYY-00-DD 00:00:SS,51,49
37,YYYY-00-DD 00:00:SS,54,60
38,YYYY-00-DD 00:00:SS,35,52
39,YYYY-00-DD 00:00:SS,40,40
40,YYYY-00-DD 00:00:SS,29,35
41,YYYY-00-DD 00:00:SS,21,32
42,YYYY-00-DD 00:00:SS,37,53
43,YYYY-00-DD 00:00:SS,70,71
44,YYYY-00-DD 00:00:SS,68,99
45,YYYY-00-DD 00:00:SS,86,116
46,YYYY-00-DD 00:00:SS,80,91
47,YYYY-00-DD 00:00:SS,88,99
48,YYYY-00-DD 00:00:SS,44,58
49,YYYY-00-DD 00:00:SS,52,51
50,YYYY-00-DD 00:00:SS,42,64
51,YYYY-00-DD 00:00:SS,65,51
52,YYYY-00-DD 00:00:SS,36,47
53,YYYY-00-DD 00:00:SS,28,43
54,YYYY-00-DD 00:00:SS,28,46
55,YYYY-00-DD 00:00:SS,35,42
56,YYYY-00-DD 00:00:SS,32,31
57,YYYY-00-DD 00:00:SS,29,32
58,YYYY-00-DD 00:00:SS,39,37
59,YYYY-00-DD 00:00:SS,32,35
60,YYYY-00-DD 00:00:SS,30,31
61,YYYY-00-DD 00:00:SS,41,45
62,YYYY-00-DD 00:00:SS,36,44
63,YYYY-00-DD 00:00:SS,42,44
64,YYYY-00-DD 00:00:SS,22,33
65,YYYY-00-DD 00:00:SS,39,38
66,YYYY-00-DD 00:00:SS,44,32
67,YYYY-00-DD 00:00:SS,35,33
68,YYYY-00-DD 00:00:SS,28,41
69,YYYY-00-DD 00:00:SS,34,25
70,YYYY-00-DD 00:00:SS,30,43
71,YYYY-00-DD 00:00:SS,16,30
72,YYYY-00-DD 00:00:SS,22,39
73,YYYY-00-DD 00:00:SS,85,136
74,YYYY-00-DD 00:00:SS,65,79
75,YYYY-00-DD 00:00:SS,56,66
76,YYYY-00-DD 00:00:SS,51,48
77,YYYY-00-DD 00:00:SS,78,68
78,YYYY-00-DD 00:00:SS,60,52
79,YYYY-00-DD 00:00:SS,55,72
80,YYYY-00-DD 00:00:SS,36,45
81,YYYY-00-DD 00:00:SS,39,63
82,YYYY-00-DD 00:00:SS,53,76
83,YYYY-00-DD 00:00:SS,37,65
84,YYYY-00-DD 00:00:SS,43,41
85,YYYY-00-DD 00:00:SS,36,57
86,YYYY-00-DD 00:00:SS,37,50
87,YYYY-00-DD 00:00:SS,37,57
