,date,total,m_total,m_out,m_in,fm_total,fm_out,fm_in
1,2018-12,51367,20687,20593,115,30680,30526,184
2,2019-01,54786,21941,21846,119,32845,32660,219
3,2019-02,49439,19935,19818,142,29504,29330,205
4,2019-03,53762,21642,21513,152,32120,31920,234
5,2019-04,55545,22314,22175,157,33231,33039,229
6,2019-05,56295,22582,22462,137,33713,33533,214
7,2019-06,53722,21544,21416,141,32178,31992,219
8,2019-07,56902,22930,22798,159,33972,33774,236
9,2019-08,56218,22601,22482,135,33617,33425,229
10,2019-09,55597,22091,21986,124,33506,33297,240
11,2019-10,57992,22835,22722,128,35157,34986,204
12,2019-11,54532,21798,21704,111,32734,32580,178
13,2019-12,55601,22179,22076,118,33422,33259,189
14,2020-01,55473,22260,22142,137,33213,33043,206
15,2020-02,52768,21108,21017,104,31660,31518,164
16,2020-03,55942,21921,21830,102,34021,33888,158
17,2020-04,55484,21692,21616,86,33792,33653,164
18,2020-05,57759,22755,22653,113,35004,34863,174
19,2020-06,59073,23257,23162,116,35816,35658,186
20,2020-07,60656,23895,23784,133,36761,36560,235
21,2020-08,57578,22835,22736,115,34743,34563,206
22,2020-09,60726,23637,23554,102,37089,36928,190
23,2020-10,58463,22786,22687,105,35677,35529,175
24,2020-11,58917,23344,23252,106,35573,35416,183
25,2020-12,60462,24030,23945,94,36432,36303,152
26,2021-01,59345,23242,23167,89,36103,35975,154
27,2021-02,59858,23364,23274,106,36494,36366,156
28,2021-03,66042,25738,25650,106,40304,40154,185
