,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,5041160,1694715,7041,123554,266960,236571,255862,257990,242323,212162,92254,3346444,3962,235561,491636,481599,482683,501174,511739,439609,198483
1,2019-01,5631933,1871958,6266,122115,299152,255546,281079,277623,279502,241662,109014,3759975,4313,223066,546851,538058,545750,559863,583396,527807,230872
2,2019-02,4667311,1599417,6305,105258,280075,209163,237432,239366,235942,195049,90827,3067894,3264,176086,449568,453049,451783,472837,478613,396191,186505
3,2019-03,5318765,1815568,7369,126831,294781,246786,272986,275956,262207,219878,108774,3503197,4981,213783,519233,524088,504392,528397,535184,454895,218245
4,2019-04,5708474,1924128,9000,136145,317164,253972,284939,284876,290286,240471,107275,3784346,4303,242705,574746,579071,548731,562900,570266,476817,224808
5,2019-05,5829762,1940501,8036,156636,331695,263905,279732,282321,278319,224648,115209,3889262,4997,260599,598566,587478,565641,574612,573264,490464,233640
6,2019-06,5403508,1789875,7808,153358,280266,250816,265040,258508,255775,215289,103016,3613633,4300,283638,553628,548783,524595,515625,522590,445060,215413
7,2019-07,6146161,2028563,8108,154267,330108,290753,293061,284933,301138,252585,113610,4117598,10111,286820,637395,638199,605655,586982,592236,500994,259207
8,2019-08,5895040,1975141,8622,152793,327757,293851,293984,279655,273716,234519,110245,3919899,5006,279991,655872,613153,562076,555822,553645,459316,235017
9,2019-09,5546103,1820766,7776,148589,293480,256581,274808,247545,257298,225546,109143,3725337,4343,257290,619335,587038,536450,518482,527172,448628,226598
10,2019-10,6056462,1962933,8896,154590,323230,289724,293078,266004,277486,237054,112871,4093529,5569,289939,722320,643181,570179,558259,574561,484453,245066
11,2019-11,6041052,1988269,8165,164817,345487,307949,294370,262886,266575,227951,110068,4052783,5091,294405,763733,643964,571890,527052,549686,459751,237212
12,2019-12,6096768,1996738,6666,152394,349531,297864,294740,272267,267243,239518,116515,4100030,4978,263299,773758,648254,569795,533648,584194,478276,243828
13,2020-01,5980553,1974746,5423,141164,343591,285319,292837,272401,288336,232218,113457,4005808,4583,223152,743973,630173,551562,535966,582071,485100,249227
14,2020-02,5773740,1917917,6052,132348,331051,291525,291564,251560,285611,219149,109057,3855824,3765,217163,742384,614197,529063,514194,554650,453931,226477
15,2020-03,6017713,1979916,5061,138074,345251,299689,289912,268140,294306,225629,113856,4037797,4198,206801,796838,632758,543303,535094,589431,489033,240343
16,2020-04,6084503,1983080,5920,132923,362851,313229,292279,259996,290020,217770,108091,4101424,5913,216997,815790,653808,553249,538890,589667,492483,234626
17,2020-05,6430312,2086564,7577,147254,379767,334569,314884,278674,294184,220010,109645,4343748,7738,244272,886140,699657,594829,560596,613215,491092,246209
18,2020-06,6535397,2079497,7782,155878,374226,320845,308569,287207,283341,225637,116011,4455900,7333,274020,921387,720525,607054,559684,605063,510150,250685
19,2020-07,6853002,2181628,11136,175760,408688,337082,325174,289165,289671,226470,118483,4671374,5382,319061,943410,773011,651171,582911,634643,507943,253843
20,2020-08,6153704,1951254,10508,157399,347171,302393,288357,269475,261491,212674,101785,4202450,6804,284642,833525,687414,568571,533212,581520,467643,239119
21,2020-09,6718392,2117277,9115,159333,382465,338221,311428,280476,290481,229861,115897,4601115,7052,291062,936832,751859,626515,569850,632494,531253,254197
22,2020-10,6218594,1979883,6947,151501,369095,320263,283352,254938,279629,206680,107478,4238710,7774,272528,887188,691144,572376,513096,592157,473021,229426
23,2020-11,6509567,2072171,8368,162091,390231,320387,303645,271406,284686,215907,115450,4437396,5967,285303,949947,737063,592815,537734,608066,484858,235643
24,2020-12,6850002,2175174,7556,155977,402174,359218,322481,284007,294954,228332,120475,4674828,9082,272719,974663,778369,635438,574562,646274,521503,262217
25,2021-01,6389736,2054094,8041,148040,391207,336861,300534,270276,275697,218368,105069,4335642,4852,248614,923315,728789,578038,533340,619199,473578,225916
26,2021-02,6200781,1983648,6398,146429,367502,320469,290431,259381,271289,218422,103329,4217132,6175,232983,885159,690665,571407,524087,607691,469287,229679
27,2021-03,7313579,2315782,8514,159743,447112,370746,334318,306887,312334,249062,127065,4997797,5889,271714,1064802,840809,661795,612569,706791,555651,277777
