,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,70273,28225,174,1225,2901,3154,4411,4683,4746,4795,2136,42048,114,1196,3369,4260,5965,7860,7937,7315,4032
1,2019-01,76455,30631,186,1218,3215,3439,4465,5021,5356,5378,2353,45824,125,1111,3508,4555,6342,8537,9192,8006,4448
2,2019-02,64380,25984,168,1036,2781,2919,3870,4285,4445,4401,2079,38396,115,952,3116,3810,5231,7172,7570,6666,3764
3,2019-03,72900,29378,212,1245,3320,3328,4356,4850,4971,4796,2300,43522,130,1236,3554,4325,5985,8032,8603,7443,4214
4,2019-04,76904,30814,273,1253,3458,3492,4695,5035,5032,5160,2416,46090,174,1355,3787,4794,6390,8376,8907,7907,4400
5,2019-05,78566,31462,268,1329,3656,3661,4890,5215,5133,4885,2425,47104,160,1427,3956,5017,6774,8738,8966,7652,4414
6,2019-06,72369,28938,237,1326,3337,3489,4512,4722,4575,4591,2149,43431,149,1414,3743,4661,6328,8010,8195,6943,3988
7,2019-07,79576,31971,254,1376,3562,3781,5047,5322,5228,5035,2366,47605,170,1356,4229,5093,6999,8659,9107,7734,4258
8,2019-08,77144,30974,223,1354,3572,3672,4903,5165,4995,4844,2246,46170,175,1493,4318,5009,6791,8352,8545,7331,4156
9,2019-09,74390,29445,236,1258,3312,3375,4618,4877,4816,4718,2235,44945,157,1322,4024,4781,6402,8055,8710,7396,4098
10,2019-10,80195,31336,222,1333,3771,3660,4736,5117,5088,5017,2392,48859,163,1469,4644,5229,6882,8780,9349,7928,4415
11,2019-11,75418,30098,218,1338,3636,3768,4634,4755,4767,4747,2235,45320,174,1460,4714,4920,6477,8000,8446,7128,4001
12,2019-12,76511,30493,218,1235,3555,3704,4696,4820,4979,4953,2333,46018,178,1248,4417,4814,6414,7967,8896,7697,4387
13,2020-01,75751,30324,204,1194,3389,3523,4534,4787,5101,5066,2526,45427,135,1045,4478,4646,6269,7896,8847,7756,4355
14,2020-02,71432,28604,172,1145,3347,3539,4443,4490,4665,4585,2218,42828,128,1035,4313,4406,5850,7488,8372,7126,4110
15,2020-03,76748,30190,145,1002,3537,3581,4460,4845,5194,4974,2452,46558,146,1085,4546,4539,6209,7940,9293,8065,4735
16,2020-04,76776,29895,169,1045,3611,3588,4521,4886,4888,4858,2329,46881,144,1218,4498,4719,6349,7953,9237,8089,4674
17,2020-05,79700,31351,180,1259,3831,3808,4788,5124,5164,4748,2449,48349,150,1399,5058,5000,6770,8223,9290,7774,4685
18,2020-06,82910,32506,257,1428,4005,3931,4896,5127,5255,5094,2513,50404,175,1555,5380,5315,7043,8637,9547,7940,4812
19,2020-07,86544,33839,261,1500,4200,4174,5150,5289,5446,5248,2571,52705,196,1874,5698,5720,7489,9049,9830,8084,4765
20,2020-08,78559,31111,217,1388,3757,3808,4704,4951,5053,4844,2389,47448,178,1492,5038,4993,6601,8132,9192,7301,4521
21,2020-09,85556,33239,244,1486,4053,4093,5000,5173,5554,5089,2547,52317,195,1691,5653,5502,7179,8628,10166,8448,4855
22,2020-10,78939,30582,227,1444,3900,3656,4586,4610,5079,4693,2387,48357,211,1683,5207,5113,6545,8016,9378,7652,4552
23,2020-11,81720,32104,257,1581,4286,3895,4878,4815,5150,4786,2456,49616,209,1781,5650,5458,6666,8161,9481,7776,4434
24,2020-12,86489,34110,268,1526,4370,4106,5172,5261,5684,5058,2665,52379,181,1682,5867,5591,7102,8594,10377,8086,4899
25,2021-01,81617,31914,248,1294,4215,3890,4765,4979,5261,4828,2434,49703,187,1548,5554,5296,6532,7909,10120,7920,4637
26,2021-02,80456,31160,241,1403,3998,3760,4674,4872,5115,4687,2410,49296,188,1508,5380,5211,6516,7828,9998,7980,4687
27,2021-03,94551,36520,270,1759,4911,4326,5384,5700,5969,5384,2817,58031,186,1896,6416,6099,7780,9124,11719,9366,5445
