,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,71642,28814,174,1251,2981,3205,4456,4745,4907,4883,2212,42828,114,1240,3397,4284,5998,7978,8068,7421,4328
1,2019-01,78021,31192,186,1229,3270,3509,4507,5067,5508,5459,2457,46829,125,1118,3523,4589,6392,8621,9359,8219,4883
2,2019-02,65939,26552,170,1086,2830,2954,3894,4369,4647,4461,2141,39387,114,1001,3129,3833,5286,7252,7750,6930,4092
3,2019-03,74827,30029,211,1247,3429,3395,4395,4935,5164,4839,2414,44798,130,1273,3586,4364,6095,8208,8792,7647,4703
4,2019-04,78824,31532,271,1280,3637,3575,4705,5127,5172,5212,2553,47292,174,1461,3841,4815,6468,8546,9052,8138,4797
5,2019-05,80689,32410,267,1435,3734,3723,4927,5476,5245,4923,2680,48279,160,1468,3986,5043,6838,9008,9131,7866,4779
6,2019-06,74129,29582,237,1340,3369,3560,4539,4837,4803,4659,2238,44547,148,1454,3780,4671,6359,8234,8334,7178,4389
7,2019-07,81489,32792,254,1460,3736,3838,5057,5461,5356,5090,2540,48697,170,1369,4270,5132,7044,8985,9175,8003,4549
8,2019-08,78957,31780,225,1366,3597,3738,4918,5275,5256,5001,2404,47177,175,1508,4350,5017,6802,8572,8723,7512,4518
9,2019-09,76195,30155,236,1275,3327,3417,4653,5066,4976,4866,2339,46040,157,1356,4068,4788,6459,8217,8946,7550,4499
10,2019-10,81924,31955,222,1358,3796,3711,4809,5179,5234,5115,2531,49969,163,1570,4666,5234,6974,9007,9540,8109,4706
11,2019-11,76932,30597,218,1353,3670,3795,4761,4751,4887,4862,2300,46335,173,1473,4742,4926,6534,8144,8639,7321,4383
12,2019-12,77878,30956,218,1234,3601,3759,4779,4836,5121,5012,2396,46922,178,1250,4448,4848,6475,8064,9046,7911,4702
13,2020-01,77852,31104,203,1195,3453,3550,4653,4861,5301,5188,2700,46748,135,1073,4507,4666,6465,8090,9092,8035,4685
14,2020-02,73086,29386,172,1150,3387,3572,4546,4618,4785,4774,2382,43700,128,1039,4359,4456,5887,7621,8463,7286,4461
15,2020-03,78549,30906,145,1033,3560,3621,4497,4944,5331,5111,2664,47643,146,1112,4598,4604,6245,8030,9383,8327,5198
16,2020-04,78209,30415,168,1045,3648,3624,4560,4914,5008,4973,2475,47794,144,1268,4532,4749,6381,8028,9411,8259,5022
17,2020-05,81210,31891,180,1260,3865,3840,4825,5180,5323,4895,2523,49319,150,1437,5167,5062,6831,8304,9388,7937,5043
18,2020-06,84445,32958,258,1444,4034,3987,4931,5175,5358,5202,2569,51487,175,1622,5471,5362,7122,8701,9700,8099,5235
19,2020-07,88318,34515,261,1501,4266,4232,5178,5360,5566,5375,2776,53803,196,1977,5735,5765,7540,9113,10037,8333,5107
20,2020-08,80203,31605,217,1428,3819,3850,4728,4986,5112,5028,2437,48598,180,1536,5115,5019,6642,8264,9373,7587,4882
21,2020-09,87493,33725,244,1515,4097,4170,5020,5190,5672,5225,2592,53768,195,1804,5728,5532,7274,8769,10449,8726,5291
22,2020-10,80235,31057,224,1452,4019,3675,4612,4654,5141,4855,2425,49178,209,1730,5258,5105,6542,8146,9568,7806,4814
23,2020-11,82717,32478,248,1568,4339,3946,4909,4836,5282,4857,2493,50239,206,1792,5646,5492,6662,8211,9624,7901,4705
24,2020-12,87246,34370,264,1553,4390,4147,5148,5294,5725,5162,2687,52876,179,1667,5877,5650,7092,8548,10502,8180,5181
25,2021-01,82506,32154,245,1283,4214,3960,4744,4986,5302,4928,2492,50352,187,1561,5609,5347,6501,7914,10237,8030,4966
26,2021-02,81123,31366,239,1374,4017,3816,4654,4840,5185,4777,2464,49757,183,1519,5391,5226,6514,7825,10033,8100,4966
27,2021-03,95310,36735,266,1749,4974,4350,5384,5691,6026,5433,2862,58575,186,1931,6418,6130,7759,9132,11766,9493,5760
